Month_Year,$FutureFlag,Occupancy_Rate,$TS-Occupancy_Rate,$TSLCI-Occupancy_Rate,$TSUCI-Occupancy_Rate
Jan 2014,0,38.200,36.908,31.847,41.969
Feb 2014,0,39.431,40.175,35.114,45.236
Mar 2014,0,44.115,44.766,39.704,49.827
Apr 2014,0,50.191,49.566,44.504,54.627
May 2014,0,51.599,51.918,46.857,56.980
Jun 2014,0,57.424,59.697,54.636,64.758
Jul 2014,0,71.376,69.487,64.426,74.548
Aug 2014,0,77.238,73.296,68.235,78.357
Sep 2014,0,58.602,62.104,57.043,67.165
Oct 2014,0,58.720,58.993,53.932,64.055
Nov 2014,0,47.824,45.603,40.542,50.664
Dec 2014,0,34.284,34.852,29.790,39.913
Jan 2015,0,33.200,37.235,32.173,42.296
Feb 2015,0,35.923,39.440,34.378,44.501
Mar 2015,0,42.967,43.478,38.416,48.539
Apr 2015,0,44.121,48.306,43.244,53.367
May 2015,0,52.355,49.699,44.638,54.761
Jun 2015,0,61.469,58.071,53.010,63.132
Jul 2015,0,70.876,68.992,63.930,74.053
Aug 2015,0,66.112,72.800,67.739,77.861
Sep 2015,0,58.305,59.489,54.427,64.550
Oct 2015,0,55.189,56.840,51.779,61.901
Nov 2015,0,40.991,43.175,38.114,48.236
Dec 2015,0,30.683,31.545,26.484,36.606
Jan 2016,0,31.629,33.870,28.808,38.931
Feb 2016,0,35.736,36.432,31.371,41.494
Mar 2016,0,40.601,41.033,35.971,46.094
Apr 2016,0,50.711,45.876,40.815,50.938
May 2016,0,50.063,49.068,44.007,54.130
Jun 2016,0,55.547,57.109,52.048,62.170
Jul 2016,0,66.553,67.041,61.979,72.102
Aug 2016,0,69.024,70.376,65.315,75.437
Sep 2016,0,59.673,58.129,53.067,63.190
Oct 2016,0,55.388,56.024,50.963,61.085
Nov 2016,0,42.077,42.561,37.500,47.623
Dec 2016,0,32.075,31.270,26.209,36.332
Jan 2017,0,36.965,33.927,28.866,38.988
Feb 2017,0,40.942,37.542,32.481,42.604
Mar 2017,0,43.306,42.959,37.898,48.021
Apr 2017,0,45.686,47.958,42.897,53.020
May 2017,0,45.603,49.733,44.672,54.795
Jun 2017,0,56.550,56.752,51.691,61.813
Jul 2017,0,63.157,66.955,61.893,72.016
Aug 2017,0,73.317,69.630,64.569,74.691
Sep 2017,0,61.200,58.387,53.326,63.449
Oct 2017,0,58.833,56.536,51.474,61.597
Nov 2017,0,43.894,43.658,38.596,48.719
Dec 2017,0,32.966,32.510,27.449,37.572
Jan 2018,1,$null$,35.097,30.036,40.159
Feb 2018,1,$null$,38.107,32.946,43.268
Mar 2018,1,$null$,42.846,37.587,48.105
Apr 2018,1,$null$,47.776,42.421,53.131
May 2018,1,$null$,50.004,44.555,55.453
Jun 2018,1,$null$,57.846,52.305,63.388
Jul 2018,1,$null$,68.089,62.457,73.722
Aug 2018,1,$null$,71.522,65.800,77.244
Sep 2018,1,$null$,59.544,53.733,65.355
Oct 2018,1,$null$,57.131,51.234,63.029
Nov 2018,1,$null$,43.796,37.812,49.779
Dec 2018,1,$null$,32.601,26.533,38.669
